Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
04-Apr-20,NEAS,210,67.86%,61.76%,27,7.94%,3,0.88%,0,0.00%,27.8,11.23,2.64,70.77,17.97,54.72,101.81,0.08
04-Apr-20,NWAS,553,60.12%,67.19%,152,18.47%,4,0.49%,2,0.24%,103.97,22.72,1.75,106.77,21.21,34.8,290.87,0.13
04-Apr-20,SCAS,217,73.23%,46.67%,13,2.80%,0,0.00%,0,0.00%,21.41,1.72,0,49.85,15.53,21.79,120.35,0.05
04-Apr-20,SECAmb,611,88.88%,70.15%,122,14.01%,8,0.92%,0,0.00%,96.8,19.72,1.33,85.43,20.53,31.96,297.98,0.11
04-Apr-20,SWAS,254,100.00%,27.61%,52,5.65%,2,0.22%,0,0.00%,38.75,8.06,0.29,69.6,12.4,22.9,190.18,0.04
04-Apr-20,WMAS,694,85.19%,62.52%,114,10.27%,1,0.09%,1,0.09%,97.84,14.23,1.22,133.13,18.95,28.74,350.64,0.09
04-Apr-20,YAS,211,72.89%,37.54%,42,7.47%,9,1.60%,4,0.71%,40.64,13.41,4,116.58,14.14,27.88,132.42,0.07
05-Apr-20,EEAST,610,89.12%,70.28%,102,11.75%,6,0.69%,1,0.12%,93.17,16.06,1.72,128.93,20.22,30.59,292.59,0.11
05-Apr-20,EMAS,697,100.00%,67.47%,174,16.84%,5,0.48%,1,0.10%,361.83,80.54,3.09,93.1,20.89,33.58,359.59,0.35
05-Apr-20,IOW,20,51.52%,117.65%,3,17.65%,0,0.00%,0,0.00%,2.86,0.47,0,43.87,31.42,28.88,8.9,0.17
05-Apr-20,LAS,950,95.91%,71.05%,242,18.10%,12,0.90%,12,0.90%,183.37,46.36,13.34,208.17,22,35.05,490.34,0.14
05-Apr-20,NEAS,168,65.92%,52.01%,17,5.26%,0,0.00%,0,0.00%,18.73,5.43,0,39.72,15.81,52.86,85.12,0.06
05-Apr-20,NWAS,502,56.83%,67.38%,129,17.32%,9,1.21%,3,0.40%,95.62,26.07,3.96,153.15,21.53,35.91,267.35,0.13
05-Apr-20,SCAS,224,73.57%,43.50%,21,4.08%,1,0.19%,1,0.19%,25.49,4.04,0.62,97.08,15.52,22.2,133.17,0.05
05-Apr-20,SECAmb,608,90.44%,71.45%,118,13.87%,7,0.82%,1,0.12%,98.85,18.48,2.34,145.68,20.98,31.12,297.61,0.12
05-Apr-20,SWAS,267,100.00%,28.16%,44,4.64%,1,0.11%,1,0.11%,36.23,6.32,0.71,102.3,11.98,22.84,189.33,0.04
05-Apr-20,WMAS,717,85.71%,65.30%,79,7.19%,1,0.09%,0,0.00%,88.28,8.11,0.03,61.6,18.53,27.06,339.18,0.08
05-Apr-20,YAS,215,72.03%,34.79%,51,8.25%,7,1.13%,1,0.16%,38.15,10.98,2.11,96.83,13.35,26.2,137.48,0.06
06-Apr-20,EEAST,659,88.11%,71.17%,170,18.36%,32,3.46%,14,1.51%,146.44,55.55,21.35,383.08,23.25,40.38,358.78,0.16
