Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Jul-20,EMAS,"21,161",100.00%,56.51%,"3,656",9.76%,298,0.80%,72,0.19%,"10,088.10","1,722.90",184.06,359.17,18.42,29.07,"11,492.68",0.27
Jul-20,IOW,729,84.30%,67.56%,80,7.41%,9,0.83%,4,0.37%,102.14,19.07,6.69,184.9,19.59,26.69,352.25,0.09
Jul-20,LAS,"28,913",96.60%,56.74%,"3,911",7.67%,86,0.17%,86,0.17%,"3,769.67",472.67,27.56,206.25,17.63,26.49,"14,975.79",0.07
Jul-20,NEAS,"6,457",80.21%,42.23%,747,4.89%,70,0.46%,18,0.12%,769.63,337.04,75.94,163.62,15.36,49.14,"3,913.87",0.05
Jul-20,NWAS,"18,409",71.94%,49.20%,"2,554",6.83%,157,0.42%,34,0.09%,"2,459.27",416.09,51.03,216.93,16.74,26.91,"10,440.23",0.07
Jul-20,SCAS,"7,545",84.74%,34.50%,723,3.31%,68,0.31%,18,0.08%,829.4,146.15,25.94,214.27,14.47,20.93,"5,276.29",0.04
Jul-20,SECAmb,"15,025",93.43%,45.53%,"1,858",5.63%,75,0.23%,7,0.02%,"1,829.24",261.6,16.75,144.3,15.94,24.61,"8,766.42",0.06
Jul-20,SWAS,"11,412",100.00%,27.44%,"2,385",5.73%,371,0.89%,79,0.19%,"2,031.84",639.43,130.1,250.25,12.74,24.51,"8,830.43",0.05
Jul-20,WMAS,"20,128",88.47%,44.14%,"2,214",4.86%,321,0.70%,96,0.21%,"2,551.13",552.34,139.07,171.18,16.12,24.74,"12,251.88",0.06
Jul-20,YAS,"7,780",74.87%,30.58%,"1,534",6.03%,126,0.50%,36,0.14%,"1,275.76",326.59,64.93,227.85,12.75,24.72,"5,405.44",0.05
Aug-20,EEAST,"24,429",93.60%,59.77%,"4,502",11.01%,786,1.92%,291,0.71%,"4,245.36","1,326.91",383.86,290.05,19.68,33.65,"13,409.34",0.1
Aug-20,EMAS,"22,582",100.00%,59.62%,"4,640",12.25%,583,1.54%,191,0.50%,"11,144.43","2,358.02",372.34,243.47,19.65,32.27,"12,403.89",0.29
Aug-20,IOW,859,89.75%,71.64%,98,8.17%,5,0.42%,3,0.25%,115.36,20.57,7.06,226.15,19.86,27.51,396.87,0.1
Aug-20,LAS,"31,475",97.04%,58.27%,"5,047",9.34%,203,0.38%,203,0.38%,"4,531.81",782.24,99.1,303.7,18.28,27.71,"16,452.13",0.08
Aug-20,NEAS,"7,022",79.83%,45.41%,"1,017",6.58%,144,0.93%,22,0.14%,965.54,502.01,148.68,154.15,16.21,49.82,"4,176.96",0.06
Aug-20,NWAS,"18,973",72.11%,51.08%,"3,183",8.57%,280,0.75%,75,0.20%,"2,840.38",633.36,109.9,212.93,17.49,28.96,"10,829.19",0.08
Aug-20,SCAS,"9,187",85.31%,40.38%,"1,144",5.03%,224,0.98%,107,0.47%,"1,274.57",375.43,131,186.83,15.93,24.38,"6,040.14",0.06
Aug-20,SECAmb,"17,240",93.61%,49.95%,"2,601",7.54%,209,0.61%,38,0.11%,"2,397.03",490.75,67.65,144.05,17.1,26.86,"9,836.82",0.07
Aug-20,SWAS,"13,754",100.00%,32.15%,"3,760",8.79%,"1,039",2.43%,463,1.08%,"3,441.03","1,600.73",621.24,229.47,15.09,31.16,"10,758.27",0.08
Aug-20,WMAS,"22,386",90.06%,47.04%,"3,157",6.63%,564,1.19%,170,0.36%,"3,315.66",905.61,254.07,228.8,17.05,27.4,"13,524.81",0.07
Aug-20,YAS,"8,754",75.69%,33.30%,"2,006",7.63%,225,0.86%,49,0.19%,"1,572.14",447.68,79.91,185.32,13.71,26.59,"6,007.20",0.06
Sep-20,EEAST,"24,059",93.07%,60.85%,"5,169",13.07%,959,2.43%,360,0.91%,"4,659.19","1,654.41",506.62,322.15,20.6,35.31,"13,571.15",0.12
Sep-20,EMAS,"23,369",100.00%,62.06%,"5,687",15.10%,"1,051",2.79%,426,1.13%,"12,134.80","3,270.36",814.95,295.77,21.34,37.03,"13,394.24",0.32
Sep-20,IOW,901,91.00%,74.28%,119,9.81%,19,1.57%,8,0.66%,136.58,32.31,12.39,175.87,21.02,29.19,424.86,0.11
Sep-20,LAS,"30,462",96.21%,58.52%,"5,143",9.88%,280,0.54%,280,0.54%,"4,619.04",918.92,200.91,444.78,18.57,28.7,"16,115.00",0.09
Sep-20,NEAS,"6,858",78.74%,46.37%,"1,032",6.98%,207,1.40%,44,0.30%,"1,012.87",554.85,227.37,230.6,16.68,50.93,"4,111.48",0.07
Sep-20,NWAS,"19,325",69.43%,55.94%,"3,684",10.66%,431,1.25%,134,0.39%,"3,216.08",852.57,189.65,266.58,18.77,31.27,"10,803.58",0.09
Sep-20,SCAS,"8,956",84.17%,40.11%,"1,269",5.68%,264,1.18%,97,0.43%,"1,329.00",413.95,136.56,260.5,16.05,24.67,"5,974.66",0.06
Sep-20,SECAmb,"16,431",92.54%,49.97%,"2,460",7.48%,231,0.70%,47,0.14%,"2,281.59",493.87,76.78,199.92,17.16,27.08,"9,402.58",0.07
Sep-20,SWAS,"13,612",100.00%,32.40%,"3,739",8.90%,896,2.13%,382,0.91%,"3,296.83","1,457.17",527.78,287.47,14.98,30.57,"10,488.64",0.08
Sep-20,WMAS,"24,177",89.90%,51.54%,"4,538",9.67%,"1,000",2.13%,356,0.76%,"4,441.51","1,593.33",529.52,264.05,18.78,31.67,"14,679.28",0.09
Sep-20,YAS,"8,756",72.36%,35.52%,"2,410",9.78%,441,1.79%,135,0.55%,"1,906.55",706.05,173.64,205.58,14.87,29.47,"6,109.05",0.08
Oct-20,EEAST,"25,357",93.26%,61.26%,"5,922",14.31%,"1,439",3.48%,654,1.58%,"5,648.88","2,395.83",946.75,392.45,21.7,39.84,"14,973.08",0.14
Oct-20,EMAS,"24,111",100.00%,61.63%,"6,130",15.67%,"1,326",3.39%,552,1.41%,"12,828.32","3,730.80","1,022.01",283.13,21.76,38.26,"14,186.15",0.33
Oct-20,IOW,972,91.74%,42.08%,148,6.41%,30,1.30%,26,1.13%,167.65,61.5,33,184.53,16.96,24.32,652.91,0.07
Oct-20,LAS,"33,136",96.61%,60.49%,"6,145",11.22%,396,0.72%,396,0.72%,"5,323.51","1,167.04",233.41,"1,455.97",19.17,29.84,"17,502.73",0.1
Oct-20,NEAS,"7,449",75.46%,51.61%,"1,321",9.15%,194,1.34%,36,0.25%,"1,168.59",665.54,207.72,206.77,17.68,53.6,"4,251.54",0.08
Oct-20,NWAS,"20,261",66.35%,61.57%,"5,085",15.45%,"1,047",3.18%,436,1.32%,"4,575.18","1,842.10",712.21,455.52,21.83,38.93,"11,973.64",0.14
Oct-20,SCAS,"9,741",84.94%,41.47%,"1,780",7.58%,431,1.83%,153,0.65%,"1,724.32",636.35,196.87,206.93,16.94,27.1,"6,629.99",0.07
Oct-20,SECAmb,"17,422",93.29%,50.54%,"2,872",8.33%,316,0.92%,86,0.25%,"2,584.84",655.54,123.18,269.07,17.54,28.43,"10,076.65",0.07
