Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Mar-21,YAS,"10,560",74.90%,39.46%,"3,201",11.96%,712,2.66%,210,0.78%,"2,564.23","1,060.53",286.53,229.75,16.53,32.69,"7,372.15",0.1
Apr-21,EEAST,"24,291",94.71%,58.07%,"4,548",10.87%,917,2.19%,319,0.76%,"4,381.90","1,499.33",465.5,278.18,19.68,33.3,"13,722.27",0.1
Apr-21,EMAS,"23,116",100.00%,59.73%,"5,545",14.33%,"1,087",2.81%,479,1.24%,"12,358.08","3,394.56",911.45,257.2,21.01,36.51,"13,552.15",0.32
Apr-21,IOW,168,96.88%,13.52%,9,0.72%,1,0.08%,1,0.08%,15.3,2.94,1.02,121.08,11.26,15.87,233.33,0.01
Apr-21,LAS,"30,372",91.62%,61.25%,"6,254",12.61%,314,0.63%,314,0.63%,"5,054.57","1,047.76",145.27,287.37,19.46,29.46,"16,086.68",0.1
Apr-21,NEAS,"8,064",82.04%,51.44%,"1,271",8.11%,147,0.94%,30,0.19%,"1,180.16",605.31,155.96,159.75,17.37,51.86,"4,539.47",0.08
Apr-21,NWAS,"21,569",76.90%,52.80%,"4,209",10.30%,501,1.23%,150,0.37%,"3,614.41",975.83,213.52,187.8,18.27,30.78,"12,440.74",0.09
Apr-21,SCAS,"7,698",88.33%,33.39%,"1,080",4.68%,216,0.94%,113,0.49%,"1,171.54",402.84,157.73,281.5,15.09,23.47,"5,799.64",0.05
Apr-21,SECAmb,"16,973",93.86%,48.25%,"2,250",6.40%,322,0.92%,89,0.25%,"2,284.54",575.83,128.58,199.15,16.97,26.45,"9,950.61",0.06
Apr-21,SWAS,"16,607",100.00%,38.48%,"5,796",13.43%,"2,252",5.22%,"1,168",2.71%,"5,912.87","3,459.58","1,691.99",426.6,19.19,41.62,"13,804.24",0.14
Apr-21,WMAS,"23,165",91.01%,46.22%,"4,185",8.35%,"1,016",2.03%,370,0.74%,"4,183.59","1,543.95",525.94,292.82,17.78,30.09,"14,849.38",0.08
Apr-21,YAS,"10,814",77.02%,39.58%,"3,242",11.87%,627,2.29%,206,0.75%,"2,587.28","1,055.48",307.48,265.53,16.45,32.46,"7,493.11",0.09
May-21,EEAST,"26,354",94.17%,60.42%,"5,757",13.20%,"1,456",3.34%,592,1.36%,"5,580.66","2,299.85",860.28,344.02,21.17,37.42,"15,390.38",0.13
May-21,EMAS,"25,169",100.00%,61.01%,"6,140",14.88%,"1,141",2.77%,500,1.21%,"13,610.84","3,717.31",939.9,332.47,21.22,36.85,"14,589.61",0.33
May-21,IOW,140,97.84%,10.32%,3,0.22%,0,0.00%,0,0.00%,9.41,0.27,0,36.95,10.57,14.97,238.77,0.01
May-21,LAS,"32,414",90.24%,61.21%,"7,360",13.90%,493,0.93%,493,0.93%,"5,822.70","1,444.32",261.16,330.88,19.89,30.89,"17,552.08",0.11
May-21,NEAS,"8,468",81.08%,51.98%,"1,534",9.42%,248,1.52%,69,0.42%,"1,373.33",797.07,275.07,186.78,17.95,53.33,"4,874.29",0.08
May-21,NWAS,"16,969",69.38%,51.90%,"2,505",7.66%,104,0.32%,13,0.04%,"2,310.85",368.12,26.33,166.18,17.14,27.51,"9,341.13",0.07
May-21,SCAS,"9,162",87.27%,35.95%,"1,711",6.71%,496,1.95%,225,0.88%,"1,755.75",750.37,292.26,250.75,16.27,27.22,"6,909.61",0.07
May-21,SECAmb,"17,823",92.12%,47.88%,"2,800",7.52%,426,1.14%,130,0.35%,"2,642.28",737.44,177.65,212.3,17.25,27.9,"10,703.89",0.07
May-21,SWAS,"18,335",100.00%,39.69%,"6,891",14.92%,"2,787",6.03%,"1,527",3.31%,"7,322.64","4,535.13","2,365.95",394.13,20.53,45.04,"15,805.25",0.16
May-21,WMAS,"25,639",90.88%,48.24%,"6,168",11.60%,"1,839",3.46%,862,1.62%,"6,028.29","2,839.07","1,159.47",266.58,19.64,36.87,"17,395.81",0.11
May-21,YAS,"12,279",77.32%,41.33%,"4,195",14.12%,"1,011",3.40%,330,1.11%,"3,357.02","1,530.53",471.52,279.95,17.6,35.88,"8,713.89",0.11
Jun-21,EEAST,"26,443",92.41%,63.30%,"7,492",17.93%,"2,372",5.68%,"1,123",2.69%,"7,322.59","3,698.17","1,627.24",357.47,24.12,45.53,"16,792.93",0.18
Jun-21,EMAS,"24,344",100.00%,62.54%,"6,745",17.33%,"1,559",4.01%,658,1.69%,"14,038.83","4,426.23","1,278.53",368.95,22.6,40.25,"14,659.02",0.36
Jun-21,IOW,177,96.79%,13.36%,25,1.89%,3,0.23%,2,0.15%,26.26,9.18,4.51,208.82,11.78,16.57,260.24,0.02
Jun-21,LAS,"32,170",89.70%,62.86%,"7,794",15.23%,730,1.43%,730,1.43%,"6,173.29","1,735.01",390.56,258.88,20.62,32.81,"17,584.37",0.12
Jun-21,NEAS,"8,351",78.99%,56.12%,"1,716",11.53%,312,2.10%,115,0.77%,"1,547.80",959.42,382.8,185.32,19.37,55.99,"4,804.33",0.1
Jun-21,NWAS,"22,266",77.68%,55.26%,"5,561",13.80%,"1,087",2.70%,427,1.06%,"4,820.94","1,853.50",636.28,419.03,20.22,36.48,"13,581.02",0.12
Jun-21,SCAS,"10,416",87.97%,41.59%,"2,518",10.05%,921,3.68%,434,1.73%,"2,587.53","1,319.55",578.32,260.9,18.63,33.65,"7,777.28",0.1
Jun-21,SECAmb,"18,544",91.95%,52.56%,"3,517",9.97%,675,1.91%,267,0.76%,"3,289.85","1,143.09",368.14,323.08,18.78,31.86,"11,040.66",0.09
Jun-21,SWAS,"18,913",100.00%,42.80%,"8,073",18.27%,"3,556",8.05%,"2,068",4.68%,"9,088.93","6,042.70","3,426.04",449,23.56,55.19,"17,350.53",0.21
Jun-21,WMAS,"27,986",90.13%,54.30%,"8,309",16.12%,"3,135",6.08%,"1,605",3.11%,"8,533.22","4,721.67","2,227.40",341.55,23.07,45.42,"19,819.15",0.17
Jun-21,YAS,"12,120",76.18%,43.15%,"4,602",16.38%,"1,169",4.16%,352,1.25%,"3,604.89","1,708.27",507.35,238.25,18.6,38.06,"8,709.24",0.13
Jul-21,EEAST,"27,690",91.09%,66.69%,"9,151",22.04%,"3,359",8.09%,"1,732",4.17%,"9,563.20","5,512.90","2,772.23",507.78,27.56,54.94,"19,070.14",0.23
Jul-21,EMAS,"25,747",100.00%,67.57%,"9,013",23.65%,"2,965",7.78%,"1,611",4.23%,"17,534.58","7,636.45","3,319.00",843,28.03,55.81,"17,800.36",0.46
Jul-21,IOW,153,97.56%,11.26%,16,1.18%,5,0.37%,2,0.15%,17.82,5.71,2.21,106.35,11.26,15.36,255.08,0.01
Jul-21,LAS,"32,009",88.89%,65.69%,"9,396",19.28%,"1,292",2.65%,"1,292",2.65%,"7,440.59","2,761.27",825.16,377.63,22.67,37.78,"18,414.88",0.15
Jul-21,NEAS,"8,535",75.17%,60.62%,"2,560",18.18%,688,4.89%,303,2.15%,"2,258.12","1,707.28",907.82,214.4,22.93,65.25,"5,380.71",0.16
Jul-21,NWAS,"23,711",75.01%,61.97%,"7,062",18.46%,"1,748",4.57%,758,1.98%,"6,298.30","2,896.20","1,164.54",534.58,23.28,44.57,"14,846.53",0.16
Jul-21,SCAS,"12,141",86.12%,48.19%,"3,367",13.36%,"1,309",5.20%,750,2.98%,"3,752.17","2,162.44","1,154.21",332.27,21.73,39.27,"9,126.44",0.15
Jul-21,SECAmb,"19,283",92.19%,56.69%,"4,357",12.81%,898,2.64%,320,0.94%,"3,897.02","1,498.18",481.01,350.85,20.2,35.29,"11,453.79",0.11
Jul-21,SWAS,"21,573",100.00%,50.62%,"11,371",26.68%,"5,883",13.81%,"3,873",9.09%,"15,637.61","11,790.36","7,742.51",649.02,33.8,81.24,"24,003.95",0.37
Jul-21,WMAS,"29,838",89.40%,59.91%,"11,028",22.14%,"5,081",10.20%,"3,041",6.11%,"13,362.15","8,884.06","5,232.48",498,29.51,64.67,"24,500.11",0.27
Jul-21,YAS,"14,589",76.75%,50.21%,"6,790",23.37%,"2,318",7.98%,"1,074",3.70%,"5,944.78","3,446.34","1,421.01",359.83,23.67,50.5,"11,461.39",0.2
Aug-21,EEAST,"26,747",89.90%,69.20%,"9,545",24.69%,"3,763",9.74%,"2,039",5.28%,"10,198.06","6,137.58","3,217.29",493.52,29.65,61.41,"19,104.16",0.26
Aug-21,EMAS,"25,008",100.00%,69.13%,"9,053",25.02%,"3,231",8.93%,"1,810",5.00%,"17,710.45","8,109.16","3,782.35",532.83,29.56,60.02,"17,823.05",0.49
Aug-21,IOW,242,96.95%,18.14%,27,2.02%,3,0.22%,1,0.07%,26.98,7.12,2.9,198.17,12.06,17.66,268.03,0.02
Aug-21,LAS,"31,327",89.52%,66.79%,"9,309",19.85%,"1,348",2.87%,"1,348",2.87%,"7,558.11","2,946.31",974.18,408.72,23.25,38.56,"18,177.71",0.16
Aug-21,NEAS,"8,401",77.72%,60.53%,"2,308",16.63%,625,4.50%,269,1.94%,"2,088.45","1,546.17",826.4,237.42,22.33,64.4,"5,165.50",0.15
Aug-21,NWAS,"23,422",76.37%,63.05%,"7,211",19.41%,"1,776",4.78%,791,2.13%,"6,426.76","3,003.83","1,220.38",456.67,23.86,45.08,"14,774.91",0.17
Aug-21,SCAS,"11,756",87.22%,48.62%,"2,986",12.35%,"1,067",4.41%,559,2.31%,"3,125.39","1,633.26",763.27,295.95,20.59,36.5,"8,298.60",0.13
Aug-21,SECAmb,"18,867",92.73%,57.10%,"4,215",12.76%,731,2.21%,194,0.59%,"3,559.05","1,214.66",283.82,283.3,19.8,33.71,"10,903.68",0.11
Aug-21,SWAS,"21,334",100.00%,52.35%,"10,952",26.88%,"5,661",13.89%,"3,606",8.85%,"14,715.19","10,933.33","7,038.85",660.28,33.64,81.58,"22,844.91",0.36
Aug-21,WMAS,"29,473",89.08%,61.92%,"11,336",23.82%,"5,601",11.77%,"3,665",7.70%,"15,227.72","10,724.27","6,882.77",699,32.74,75.2,"25,970.51",0.32
Aug-21,YAS,"14,151",74.94%,52.14%,"6,442",23.74%,"2,288",8.43%,"1,002",3.69%,"5,729.04","3,317.79","1,401.90",357.48,24.31,52.68,"10,995.27",0.21
Sep-21,EEAST,"25,434",86.88%,72.00%,"10,015",28.35%,"4,228",11.97%,"2,300",6.51%,"10,957.69","6,913.97","3,737.00",540.87,32.55,68.83,"19,163.81",0.31
Sep-21,EMAS,"24,438",99.99%,70.52%,"9,335",26.94%,"3,484",10.05%,"2,113",6.10%,"18,313.01","9,063.71","4,570.70",592,31.8,67.08,"18,368.17",0.53
Sep-21,IOW,216,96.55%,15.43%,21,1.50%,3,0.21%,1,0.07%,24.63,5.05,0.84,91.9,11.91,16.89,278.01,0.02
Sep-21,LAS,"30,679",89.16%,68.20%,"10,606",23.58%,"2,015",4.48%,"2,015",4.48%,"8,934.22","4,165.25","1,689.96",873.23,25.53,44.75,"19,143.88",0.2
Sep-21,NEAS,"8,062",74.59%,62.69%,"2,493",19.38%,828,6.44%,401,3.12%,"2,367.97","1,865.28","1,136.77",282.57,24.42,71.74,"5,234.00",0.18
Sep-21,NWAS,"22,374",76.06%,62.95%,"7,468",21.01%,"2,294",6.45%,"1,129",3.18%,"7,158.34","3,808.50","1,779.48",406.2,25.53,50.28,"15,122.93",0.2
Sep-21,SCAS,"12,150",86.28%,51.16%,"3,556",14.97%,"1,503",6.33%,939,3.95%,"4,583.96","2,934.61","1,813.58",439.83,24.54,45.58,"9,710.60",0.19
Sep-21,SECAmb,"18,749",92.22%,57.65%,"4,424",13.60%,918,2.82%,290,0.89%,"3,825.41","1,454.11",408.93,265.38,20.4,35.49,"11,055.21",0.12
Sep-21,SWAS,"21,193",100.00%,56.26%,"11,851",31.46%,"6,607",17.54%,"4,562",12.11%,"18,683.94","14,770.37","10,418.74",697.88,41.96,101.13,"26,346.69",0.5
Sep-21,WMAS,"30,614",88.62%,65.61%,"12,814",27.46%,"6,510",13.95%,"4,261",9.13%,"17,190.31","12,290.83","7,871.44",627,35.77,82.57,"27,820.89",0.37
Sep-21,YAS,"13,605",73.56%,54.54%,"6,526",26.16%,"2,378",9.53%,"1,112",4.46%,"5,933.87","3,573.03","1,585.79",311.27,26.11,57.07,"10,854.84",0.24
Oct-21,EEAST,"26,076",85.53%,74.67%,"11,023",31.56%,"4,869",13.94%,"2,840",8.13%,"12,522.44","8,237.48","4,654.03",550.2,35.57,77.19,"20,702.84",0.36
Oct-21,EMAS,"25,681",100.00%,70.31%,"10,025",27.45%,"3,902",10.68%,"2,447",6.70%,"20,055.10","10,343.42","5,433.17",572,32.92,69.84,"20,037.24",0.55
Oct-21,IOW,205,97.22%,15.04%,17,1.25%,2,0.15%,1,0.07%,22.5,3.91,1.19,105.43,11.51,16.72,261.39,0.02
Oct-21,LAS,"31,811",87.17%,69.13%,"11,748",25.53%,"2,507",5.45%,"2,507",5.45%,"9,949.51","4,850.75","2,017.77",498.88,26.65,47.66,"20,436.14",0.22
Oct-21,NEAS,"8,642",73.39%,65.68%,"2,764",21.01%,988,7.51%,463,3.52%,"2,730.70","2,179.79","1,413.30",279.67,25.91,74.55,"5,681.83",0.21
Oct-21,NWAS,"22,865",73.47%,66.71%,"8,696",25.37%,"2,979",8.69%,"1,538",4.49%,"8,647.37","5,048.07","2,550.67",568.53,28.75,58.24,"16,425.99",0.25
Oct-21,SCAS,"13,792",85.84%,55.87%,"4,828",19.56%,"2,172",8.80%,"1,406",5.70%,"6,485.95","4,470.49","2,892.78",549.2,28.87,55.4,"11,877.34",0.26
Oct-21,SECAmb,"20,227",91.73%,59.66%,"5,341",15.75%,"1,193",3.52%,377,1.11%,"4,523.66","1,858.88",541.94,346.45,21.46,38.53,"12,126.50",0.13
Oct-21,SWAS,"23,070",100.00%,60.42%,"13,954",36.55%,"7,961",20.85%,"5,495",14.39%,"22,349.98","17,891.36","12,669.02",702.33,47.62,114.79,"30,305.95",0.59
Oct-21,WMAS,"32,127",87.12%,68.06%,"14,876",31.51%,"8,062",17.08%,"5,482",11.61%,"21,792.48","16,397.72","11,103.39",798,41.46,100.18,"32,616.38",0.46
Oct-21,YAS,"14,898",71.42%,58.32%,"7,616",29.81%,"3,078",12.05%,"1,529",5.99%,"7,294.13","4,610.73","2,193.01",349.02,29.26,65.06,"12,458.99",0.29
Nov-21,EEAST,"24,601",85.02%,74.79%,"10,660",32.41%,"4,735",14.40%,"2,777",8.44%,"12,322.00","8,232.78","4,757.84",629.35,36.56,79.75,"20,042.89",0.37
Nov-21,EMAS,"24,167",100.00%,68.64%,"9,505",27.00%,"3,981",11.31%,"2,658",7.55%,"20,127.80","10,929.64","6,245.93",552,34.37,74.01,"20,166.06",0.57
Nov-21,IOW,301,97.70%,21.45%,49,3.49%,7,0.50%,1,0.07%,43.06,11.51,1.22,94.37,13.03,19.91,304.77,0.03
Nov-21,LAS,"31,828",87.76%,69.35%,"12,085",26.33%,"2,917",6.36%,"2,917",6.36%,"10,940.42","5,843.00","2,733.62",662.03,27.98,52.03,"21,403.63",0.24
Nov-21,NEAS,"8,485",78.39%,61.88%,"2,543",18.55%,724,5.28%,341,2.49%,"2,315.70","1,768.52",983.02,252.37,23.5,67.32,"5,370.93",0.17
Nov-21,NWAS,"24,137",76.48%,65.87%,"8,811",24.04%,"3,009",8.21%,"1,426",3.89%,"8,546.17","4,788.58","2,287.58",659.03,27.58,54.94,"16,842.42",0.23
Nov-21,SCAS,"13,294",85.75%,55.78%,"4,208",17.66%,"1,650",6.92%,926,3.89%,"4,671.93","2,793.39","1,514.66",387.15,24.92,46.12,"9,897.29",0.2
Nov-21,SECAmb,"19,273",89.48%,60.47%,"5,033",15.79%,"1,090",3.42%,399,1.25%,"4,410.25","1,842.38",627.35,340.1,21.76,39.28,"11,558.95",0.14
Nov-21,SWAS,"22,037",100.00%,60.34%,"13,352",36.56%,"7,722",21.14%,"5,371",14.71%,"21,735.75","17,494.35","12,487.63",714.82,48.17,116.91,"29,324.51",0.6
Nov-21,WMAS,"30,615",87.32%,68.52%,"13,133",29.39%,"6,723",15.05%,"4,496",10.06%,"18,907.45","13,917.66","9,377.75",840,39.2,90.86,"29,190.70",0.42
Nov-21,YAS,"14,688",71.46%,58.87%,"7,575",30.36%,"3,004",12.04%,"1,449",5.81%,"7,161.53","4,500.46","2,092.44",402.2,29.41,64.85,"12,230.44",0.29
Dec-21,EEAST,"24,935",83.29%,75.07%,"10,433",31.41%,"4,476",13.48%,"2,683",8.08%,"12,000.58","7,908.32","4,582.59",720,35.76,76.05,"19,798.04",0.36
Dec-21,EMAS,"24,178",100.00%,68.31%,"9,153",25.86%,"3,419",9.66%,"2,185",6.17%,"19,008.55","9,705.43","5,225.63",549,32.14,68.46,"18,958.22",0.54
Dec-21,IOW,271,98.45%,19.41%,46,3.30%,6,0.43%,2,0.14%,39.79,12.9,2.73,146.22,12.74,19.22,296.49,0.03
Dec-21,LAS,"32,103",87.38%,71.32%,"12,857",28.56%,"3,351",7.44%,"3,351",7.44%,"11,962.54","6,672.66","3,290.16",791.15,29.72,55.4,"22,294.81",0.27
Dec-21,NEAS,"8,647",76.97%,63.16%,"2,709",19.79%,831,6.07%,351,2.56%,"2,480.91","1,927.22","1,115.33",269.17,24.31,65.83,"5,547.39",0.18
Dec-21,NWAS,"24,652",78.08%,67.23%,"8,936",24.37%,"2,967",8.09%,"1,486",4.05%,"8,811.91","4,996.24","2,471.16",516.53,28.08,55.8,"17,160.59",0.24
Dec-21,SCAS,"12,986",85.44%,54.43%,"3,867",16.21%,"1,716",7.19%,"1,062",4.45%,"5,116.10","3,352.15","2,110.87",570.75,25.94,49.02,"10,316.73",0.21
Dec-21,SECAmb,"20,004",92.09%,60.20%,"4,992",15.02%,936,2.82%,318,0.96%,"4,213.05","1,601.00",455.53,320.18,21.08,36.76,"11,674.49",0.13
Dec-21,SWAS,"21,705",100.00%,60.05%,"13,051",36.11%,"7,588",20.99%,"5,234",14.48%,"22,276.50","18,109.79","13,185.71","1,203.80",49.46,117.15,"29,795.49",0.62
Dec-21,WMAS,"30,899",88.38%,68.87%,"12,511",27.89%,"6,247",13.92%,"4,309",9.60%,"18,913.54","13,978.21","9,734.41",990,39.12,90.85,"29,250.36",0.42
Dec-21,YAS,"14,814",73.97%,57.87%,"7,091",27.70%,"2,749",10.74%,"1,417",5.54%,"6,888.66","4,303.89","2,092.77",460.15,28.41,61.49,"12,122.01",0.27
Jan-22,EEAST,"25,006",84.38%,73.67%,"10,500",30.93%,"4,641",13.67%,"2,842",8.37%,"12,362.23","8,259.58","4,850.48",574.38,35.89,78.41,"20,306.53",0.36
Jan-22,EMAS,"23,888",100.00%,67.02%,"8,961",25.14%,"3,716",10.43%,"2,443",6.85%,"19,207.14","9,972.91","5,580.90",554,32.69,70.3,"19,419.99",0.54
Jan-22,IOW,189,97.70%,14.82%,17,1.33%,1,0.08%,0,0.00%,17.05,1.67,0.04,62.2,11.31,16.27,240.25,0.01
Jan-22,LAS,"32,137",88.01%,70.52%,"12,501",27.43%,"3,066",6.73%,"3,066",6.73%,"11,066.13","5,874.27","2,679.28",460.62,28.33,51.64,"21,515.60",0.24
Jan-22,NEAS,"8,659",80.07%,61.19%,"2,495",17.63%,701,4.95%,306,2.16%,"2,284.23","1,717.53",957.2,291.07,22.97,60.62,"5,417.20",0.16
Jan-22,NWAS,"21,686",70.93%,65.66%,"7,990",24.19%,"2,601",7.88%,"1,397",4.23%,"7,902.18","4,517.17","2,287.89",565.57,27.92,56.84,"15,368.70",0.24
Jan-22,SCAS,"12,364",86.31%,51.72%,"3,561",14.90%,"1,344",5.62%,775,3.24%,"4,152.89","2,484.69","1,405.87",443.8,23.4,44.75,"9,324.54",0.17
Jan-22,SECAmb,"19,372",91.57%,56.61%,"4,418",12.91%,863,2.52%,357,1.04%,"3,989.98","1,560.86",541.36,420.45,20.29,35.56,"11,571.41",0.12
Jan-22,SWAS,"21,936",100.00%,60.83%,"13,753",38.14%,"8,686",24.09%,"6,460",17.91%,"27,410.96","23,128.45","17,731.02","1,262.53",58.11,141.78,"34,922.95",0.76
Jan-22,WMAS,"29,929",87.84%,68.18%,"12,527",28.54%,"6,391",14.56%,"4,392",10.00%,"19,024.17","14,193.06","9,897.53",972,39.79,92.24,"29,114.93",0.43
Jan-22,YAS,"14,327",75.05%,56.10%,"6,636",25.98%,"2,485",9.73%,"1,235",4.84%,"6,263.37","3,814.57","1,776.05",379.4,26.85,57.3,"11,427.24",0.25
Feb-22,EEAST,"21,913",81.06%,75.79%,"10,041",34.73%,"4,691",16.22%,"2,943",10.18%,"12,367.18","8,643.23","5,302.99",676.83,39.78,87.44,"19,168.74",0.43
Feb-22,EMAS,"21,876",100.00%,68.66%,"8,653",27.16%,"3,682",11.56%,"2,414",7.58%,"18,665.56","10,276.40","5,974.50",656,35.2,77.4,"18,692.76",0.59
Feb-22,IOW,203,97.50%,16.82%,22,1.82%,2,0.17%,1,0.08%,25.3,6.3,1.45,128.4,12.15,17.56,244.48,0.02
Feb-22,LAS,"29,357",88.06%,70.48%,"11,458",27.51%,"2,885",6.93%,"2,885",6.93%,"10,183.54","5,397.15","2,413.01",653.62,28.41,52.21,"19,718.91",0.24
Feb-22,NEAS,"8,365",82.38%,59.45%,"2,348",16.69%,641,4.56%,268,1.90%,"2,114.27","1,573.15",842.91,250.75,22.26,58.09,"5,220.75",0.15
Feb-22,NWAS,"22,007",77.88%,63.51%,"7,866",22.70%,"2,420",6.98%,"1,142",3.30%,"7,273.97","3,895.49","1,734.99",371.93,26.02,51.62,"15,028.26",0.21
Feb-22,SCAS,"11,504",84.46%,54.38%,"3,855",18.22%,"1,455",6.88%,814,3.85%,"4,228.22","2,569.98","1,402.22",535.27,25.05,46.74,"8,833.80",0.2
Feb-22,SECAmb,"17,769",92.79%,59.10%,"4,112",13.68%,813,2.70%,269,0.89%,"3,577.28","1,329.87",375.1,258.32,20.57,35.81,"10,307.62",0.12
Feb-22,SWAS,"19,458",100.00%,63.73%,"12,935",42.37%,"8,736",28.61%,"6,850",22.44%,"30,829.20","26,913.84","21,675.48","1,380.38",73.26,176.86,"37,277.18",1.01
Feb-22,WMAS,"28,451",87.70%,68.38%,"12,226",29.38%,"6,141",14.76%,"4,286",10.30%,"18,675.35","14,027.72","9,838.99","1,020.00",40.71,96.99,"28,230.49",0.45
Feb-22,YAS,"13,260",73.58%,56.37%,"6,324",26.88%,"2,462",10.47%,"1,199",5.10%,"6,020.99","3,709.22","1,739.49",405.72,27.55,58.37,"10,799.23",0.26
Mar-22,EEAST,"23,114",78.23%,79.71%,"12,047",41.55%,"6,168",21.27%,"4,118",14.20%,"16,302.76","12,114.61","7,911.17",647.73,47.98,108.66,"23,185.75",0.56
Mar-22,EMAS,"25,180",100.00%,72.42%,"11,066",31.83%,"5,082",14.62%,"3,530",10.15%,"24,437.80","15,073.46","9,558.91",750,41.88,93.47,"24,267.63",0.7
Mar-22,IOW,318,97.06%,23.49%,52,3.84%,4,0.30%,2,0.15%,46.31,13.04,3.22,185.55,13.55,20.34,305.7,0.03
Mar-22,LAS,"31,775",85.77%,71.93%,"13,613",30.82%,"3,887",8.80%,"2,102",4.76%,"12,622.06","7,261.68","3,499.23",479.62,30.91,59.02,"22,756.17",0.29
Mar-22,NEAS,"8,552",80.52%,57.04%,"2,439",16.27%,645,4.30%,255,1.70%,"2,153.38","1,602.91",840.1,242.08,21.74,56.46,"5,433.53",0.14
Mar-22,NWAS,"23,744",75.12%,67.28%,"10,085",28.58%,"3,732",10.57%,"2,012",5.70%,"10,268.24","6,358.36","3,330.85",602.05,31.08,65.68,"18,280.36",0.29
Mar-22,SCAS,"12,542",83.57%,57.42%,"4,804",21.99%,"2,194",10.04%,"1,408",6.45%,"6,454.22","4,539.26","2,970.59",605.22,30.93,60.18,"11,259.99",0.3
Mar-22,SECAmb,"20,665",92.24%,63.16%,"5,846",17.87%,"1,371",4.19%,520,1.59%,"5,063.64","2,221.65",761.86,327.4,22.88,41.37,"12,477.07",0.15
Mar-22,SWAS,"21,084",100.00%,69.22%,"14,944",49.06%,"10,581",34.74%,"8,496",27.89%,"42,177.64","37,798.81","31,561.41","1,394.05",96.08,233.35,"48,775.34",1.38
Mar-22,WMAS,"31,904",86.39%,72.05%,"15,060",34.01%,"8,113",18.32%,"5,823",13.15%,"24,506.61","19,045.69","13,714.00","1,180.00",47.13,114.49,"34,778.76",0.55
Mar-22,YAS,"14,611",73.12%,59.95%,"7,529",30.89%,"3,248",13.33%,"1,826",7.49%,"7,857.92","5,230.62","2,755.29",627.05,31.74,69.87,"12,895.29",0.32
Apr-22,EEAST,"22,654",80.22%,79.21%,"10,976",38.38%,"5,314",18.58%,"3,477",12.16%,"14,272.14","10,297.33","6,590.16",704.72,44.18,100.35,"21,058.85",0.5
Apr-22,EMAS,"23,668",100.00%,73.25%,"10,526",32.58%,"5,076",15.71%,"3,524",10.91%,"23,285.73","14,449.68","9,157.02",712,42.81,97.26,"23,052.70",0.72
Apr-22,IOW,340,97.40%,25.24%,56,4.16%,4,0.30%,1,0.07%,47.91,13,3.07,227.78,14.03,20.42,315.05,0.04
Apr-22,LAS,"30,587",86.32%,70.99%,"12,166",28.24%,"3,103",7.20%,"1,741",4.04%,"11,086.54","6,107.13","2,922.08",537.8,29.17,54.39,"20,947.71",0.26
Apr-22,NEAS,"7,898",78.80%,57.57%,"2,472",18.02%,764,5.57%,334,2.43%,"2,268.39","1,787.84","1,041.35",286.83,23.04,63.9,"5,268.24",0.17
Apr-22,NWAS,"23,056",74.81%,68.49%,"9,629",28.60%,"3,483",10.35%,"1,838",5.46%,"9,716.71","5,912.79","3,069.11",878.08,31.03,64.79,"17,409.11",0.29
Apr-22,SCAS,"11,306",85.57%,52.95%,"3,430",16.06%,"1,293",6.06%,729,3.41%,"3,895.11","2,331.73","1,313.20",643.87,23.99,43.49,"8,537.71",0.18
Apr-22,SECAmb,"19,753",92.83%,62.35%,"5,464",17.25%,"1,189",3.75%,453,1.43%,"4,681.01","1,970.56",635.11,308.3,22.43,40.19,"11,841.85",0.15
Apr-22,SWAS,"20,998",100.00%,68.95%,"14,616",47.99%,"10,130",33.26%,"8,036",26.39%,"39,163.32","34,832.81","28,811.13","1,421.70",90.18,214.21,"45,774.61",1.29
Apr-22,WMAS,"31,031",86.35%,72.16%,"15,220",35.39%,"8,240",19.16%,"5,859",13.62%,"25,500.10","20,086.53","14,660.27","1,075.00",49.5,119.6,"35,479.28",0.59
Apr-22,YAS,"13,711",71.98%,60.25%,"6,822",29.98%,"2,798",12.30%,"1,550",6.81%,"7,144.13","4,704.70","2,515.39",567.63,31.3,67.33,"11,871.20",0.31
May-22,EEAST,"23,832",82.03%,77.09%,"10,698",34.61%,"4,790",15.50%,"2,986",9.66%,"13,158.14","9,124.77","5,636.61",538.53,39.73,88.86,"20,467.31",0.43
May-22,EMAS,"24,593",100.00%,71.49%,"9,997",29.06%,"4,008",11.65%,"2,606",7.58%,"20,996.25","11,420.62","6,438.04",672,35.79,76.93,"20,522.43",0.61
May-22,IOW,263,98.33%,17.88%,28,1.90%,0,0.00%,0,0.00%,25.87,3.85,0,54.83,12.43,17.75,304.67,0.02
