Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
23-Sep-22,WMAS,Royal Shrewsbury,43,72.88%,43,100.00%,37,86.05%,27,62.79%,23,53.49%,90.64,80.77,65.89,467,141.47,347.63,101.39,2.11
22-Sep-22,WMAS,Royal Shrewsbury,47,67.14%,46,97.87%,41,87.23%,39,82.98%,38,80.85%,220.29,209.39,189.32,886,296.2,657.4,232.02,4.69
21-Sep-22,WMAS,Royal Shrewsbury,28,49.12%,27,96.43%,25,89.29%,23,82.14%,23,82.14%,136.07,129.48,117.4,890,306.05,583.3,142.82,4.86
20-Sep-22,WMAS,Royal Shrewsbury,40,71.43%,32,80.00%,25,62.50%,17,42.50%,12,30.00%,90.75,83.62,72.97,925,150.43,371.82,100.29,2.27
19-Sep-22,WMAS,Royal Shrewsbury,72,83.72%,70,97.22%,43,59.72%,26,36.11%,20,27.78%,78.39,64.18,47.77,348.17,80.15,214.28,96.18,1.09
18-Sep-22,WMAS,Royal Shrewsbury,43,84.31%,32,74.42%,12,27.91%,4,9.30%,2,4.65%,11.86,6.64,2.94,141.95,30.96,56.65,22.19,0.28
17-Sep-22,WMAS,Royal Shrewsbury,33,82.50%,26,78.79%,6,18.18%,2,6.06%,0,0.00%,5.13,1.9,0.3,75.18,23.84,35.3,13.11,0.16
15-Sep-22,WMAS,Royal Shrewsbury,38,62.30%,37,97.37%,30,78.95%,23,60.53%,21,55.26%,119.4,111.17,97.58,683,203.46,459.3,128.86,3.14
16-Sep-22,WMAS,Royal Shrewsbury,33,64.71%,29,87.88%,25,75.76%,20,60.61%,16,48.48%,66.68,59.74,49.04,545,135.55,354.4,74.55,2.02
13-Sep-22,WMAS,Royal Shrewsbury,45,71.43%,44,97.78%,41,91.11%,33,73.33%,31,68.89%,155.96,145.47,126.57,756,222.92,500,167.19,3.47
14-Sep-22,WMAS,Royal Shrewsbury,50,76.92%,48,96.00%,41,82.00%,32,64.00%,30,60.00%,131.86,120.66,103.05,654,173.1,376.6,144.25,2.64
12-Sep-22,WMAS,Royal Shrewsbury,47,79.66%,42,89.36%,34,72.34%,22,46.81%,16,34.04%,107.59,98.1,84.76,730,151.95,474.8,119.03,2.29
11-Sep-22,WMAS,Royal Shrewsbury,53,88.33%,50,94.34%,41,77.36%,22,41.51%,14,26.42%,52.74,41.36,26.55,277.47,74.1,162.5,65.46,1
10-Sep-22,WMAS,Royal Shrewsbury,49,83.05%,46,93.88%,34,69.39%,22,44.90%,13,26.53%,55.21,45.31,32.83,337.53,82.33,192.3,67.23,1.13
09-Sep-22,WMAS,Royal Shrewsbury,54,78.26%,52,96.30%,46,85.19%,33,61.11%,28,51.85%,119.11,106.82,87.51,461,147.2,325.2,132.48,2.21
08-Sep-22,WMAS,Royal Shrewsbury,44,77.19%,43,97.73%,38,86.36%,31,70.45%,28,63.64%,85.04,74.71,58.38,542,130.93,251.57,96.01,1.93
07-Sep-22,WMAS,Royal Shrewsbury,41,66.13%,38,92.68%,33,80.49%,27,65.85%,24,58.54%,84.77,75.62,61.33,437,138.52,302.18,94.66,2.07
06-Sep-22,WMAS,Royal Shrewsbury,26,47.27%,24,92.31%,20,76.92%,15,57.69%,14,53.85%,89.9,84.58,76.08,637,222.23,514.5,96.3,3.46
05-Sep-22,WMAS,Royal Shrewsbury,32,53.33%,30,93.75%,29,90.63%,23,71.88%,21,65.63%,125.27,117.96,105.47,764,249.7,545.6,133.17,3.91
04-Sep-22,WMAS,Royal Shrewsbury,38,52.05%,37,97.37%,27,71.05%,21,55.26%,17,44.74%,91.14,82.9,71.1,756,158.88,431.6,100.62,2.4
03-Sep-22,WMAS,Royal Shrewsbury,32,65.31%,27,84.38%,21,65.63%,17,53.13%,13,40.63%,48.22,42.3,32.81,303.8,103.47,240.43,55.18,1.51
02-Sep-22,WMAS,Royal Shrewsbury,42,71.19%,37,88.10%,30,71.43%,20,47.62%,18,42.86%,51.1,42.65,30.66,260,87.6,199.72,61.32,1.22
01-Sep-22,WMAS,Royal Shrewsbury,51,87.93%,50,98.04%,37,72.55%,23,45.10%,14,27.45%,58.76,47.94,33.79,400,84.07,216.3,71.46,1.15
31-Aug-22,WMAS,Royal Shrewsbury,54,87.10%,52,96.30%,44,81.48%,28,51.85%,24,44.44%,106.35,94.58,77.24,477,132.7,350.7,119.43,1.97
30-Aug-22,WMAS,Royal Shrewsbury,48,72.73%,47,97.92%,36,75.00%,27,56.25%,21,43.75%,114.42,104.09,88.2,670,157.96,387.3,126.37,2.38
29-Aug-22,WMAS,Royal Shrewsbury,56,93.33%,53,94.64%,33,58.93%,20,35.71%,12,21.43%,41.46,30.99,17.85,231.23,59.1,117.18,55.16,0.74
28-Aug-22,WMAS,Royal Shrewsbury,49,75.38%,46,93.88%,25,51.02%,10,20.41%,9,18.37%,27.77,19.55,11.99,273,48.84,104.12,39.89,0.57
27-Aug-22,WMAS,Royal Shrewsbury,34,70.83%,31,91.18%,24,70.59%,12,35.29%,6,17.65%,25.17,18.24,8.58,173.22,59.17,125.28,33.53,0.74
26-Aug-22,WMAS,Royal Shrewsbury,44,70.97%,44,100.00%,31,70.45%,19,43.18%,16,36.36%,94.22,84.88,72.46,629,143.48,473.1,105.22,2.14
25-Aug-22,WMAS,Royal Shrewsbury,49,96.08%,45,91.84%,21,42.86%,4,8.16%,1,2.04%,15.52,6.88,1.56,108.05,33.83,58.43,27.63,0.32
23-Aug-22,WMAS,Royal Shrewsbury,45,88.24%,38,84.44%,28,62.22%,9,20.00%,6,13.33%,23.9,15.81,8.13,178.47,46.36,102.22,34.77,0.53
24-Aug-22,WMAS,Royal Shrewsbury,37,62.71%,36,97.30%,28,75.68%,21,56.76%,18,48.65%,64.68,56.93,44.89,558,119.85,276.93,73.91,1.75
22-Aug-22,WMAS,Royal Shrewsbury,50,96.15%,47,94.00%,30,60.00%,17,34.00%,11,22.00%,36.72,27.26,16.95,215.75,58.83,143.95,49.02,0.73
21-Aug-22,WMAS,Royal Shrewsbury,35,70.00%,25,71.43%,16,45.71%,8,22.86%,2,5.71%,15.81,10.48,4.33,185.82,41.13,82.73,23.99,0.45
20-Aug-22,WMAS,Royal Shrewsbury,34,59.65%,32,94.12%,24,70.59%,13,38.24%,10,29.41%,46.02,39.01,30.13,347,96.16,232.05,54.49,1.35
19-Aug-22,WMAS,Royal Shrewsbury,39,66.10%,37,94.87%,31,79.49%,25,64.10%,18,46.15%,79.05,70.58,57.3,760,136.21,236.95,88.53,2.03
18-Aug-22,WMAS,Royal Shrewsbury,32,72.73%,28,87.50%,20,62.50%,14,43.75%,12,37.50%,37.82,31.92,23.64,283.6,85.32,211.37,45.51,1.18
17-Aug-22,WMAS,Royal Shrewsbury,29,54.72%,29,100.00%,25,86.21%,19,65.52%,17,58.62%,104.16,97.43,86.23,796,230.5,567,111.41,3.59
16-Aug-22,WMAS,Royal Shrewsbury,26,50.98%,25,96.15%,19,73.08%,15,57.69%,12,46.15%,78.57,73.14,65.05,868,196.2,550,85.02,3.02
15-Aug-22,WMAS,Royal Shrewsbury,25,47.17%,25,100.00%,22,88.00%,19,76.00%,15,60.00%,101.15,95.45,85.22,720,257.75,543.4,107.4,4.05
13-Aug-22,WMAS,Royal Shrewsbury,42,82.35%,41,97.62%,34,80.95%,21,50.00%,15,35.71%,82.25,72.48,59.3,575,132.14,372.67,92.5,1.96
14-Aug-22,WMAS,Royal Shrewsbury,39,72.22%,39,100.00%,31,79.49%,27,69.23%,18,46.15%,127.99,119.07,105.19,"1,218.00",211.91,745.4,137.74,3.28
12-Aug-22,WMAS,Royal Shrewsbury,54,84.38%,54,100.00%,42,77.78%,35,64.81%,31,57.41%,183.2,171.23,152.69,823,218.56,563.2,196.7,3.39
11-Aug-22,WMAS,Royal Shrewsbury,40,72.73%,36,90.00%,33,82.50%,23,57.50%,18,45.00%,82.49,73.83,60.27,805,138.48,318.52,92.32,2.06
10-Aug-22,WMAS,Royal Shrewsbury,31,60.78%,29,93.55%,26,83.87%,21,67.74%,20,64.52%,105.75,99.03,87.12,559,219.48,434,113.4,3.41
09-Aug-22,WMAS,Royal Shrewsbury,43,67.19%,39,90.70%,34,79.07%,30,69.77%,28,65.12%,164.15,154.92,138.82,621,243.91,479.2,174.8,3.82
08-Aug-22,WMAS,Royal Shrewsbury,22,50.00%,22,100.00%,16,72.73%,11,50.00%,11,50.00%,71.05,66.27,59.55,"1,009.00",208.77,768,76.55,3.23
07-Aug-22,WMAS,Royal Shrewsbury,29,61.70%,24,82.76%,19,65.52%,9,31.03%,6,20.69%,34.86,29.56,23.2,515,86.1,189.05,41.62,1.2
06-Aug-22,WMAS,Royal Shrewsbury,61,81.33%,54,88.52%,41,67.21%,27,44.26%,22,36.07%,85.3,73.37,56.84,457,98.41,263,100.05,1.4
05-Aug-22,WMAS,Royal Shrewsbury,39,79.59%,35,89.74%,17,43.59%,9,23.08%,5,12.82%,28.39,22.16,16.27,337.43,58.37,120.72,37.94,0.73
04-Aug-22,WMAS,Royal Shrewsbury,51,76.12%,49,96.08%,43,84.31%,28,54.90%,23,45.10%,93.68,82.11,65.27,554,125.14,345,106.37,1.84
03-Aug-22,WMAS,Royal Shrewsbury,42,60.87%,39,92.86%,37,88.10%,33,78.57%,32,76.19%,150.22,140.78,123.27,677,229.05,496.3,160.34,3.58
02-Aug-22,WMAS,Royal Shrewsbury,30,45.45%,29,96.67%,25,83.33%,22,73.33%,21,70.00%,164.29,157.54,145.77,765,343.09,630.2,171.54,5.48
01-Aug-22,WMAS,Royal Shrewsbury,27,61.36%,25,92.59%,21,77.78%,17,62.96%,16,59.26%,47.83,42.07,33.06,402,121.08,267.8,54.48,1.77
31-Jul-22,WMAS,Royal Shrewsbury,35,74.47%,30,85.71%,19,54.29%,13,37.14%,11,31.43%,52.19,46.44,38.71,518,104.2,366.83,60.78,1.49
30-Jul-22,WMAS,Royal Shrewsbury,35,81.40%,32,91.43%,20,57.14%,9,25.71%,6,17.14%,31.04,24.78,18.26,437,68.03,157.85,39.69,0.89
29-Jul-22,WMAS,Royal Shrewsbury,34,60.71%,33,97.06%,28,82.35%,21,61.76%,18,52.94%,81.51,73.75,61.81,578,158.39,390.1,89.76,2.4
28-Jul-22,WMAS,Royal Shrewsbury,48,78.69%,45,93.75%,39,81.25%,30,62.50%,21,43.75%,91.36,81.08,63.8,483,128.93,319.18,103.15,1.9
26-Jul-22,WMAS,Royal Shrewsbury,54,83.08%,50,92.59%,40,74.07%,26,48.15%,22,40.74%,123.28,111.73,95.05,750,151.22,402.7,136.1,2.28
27-Jul-22,WMAS,Royal Shrewsbury,42,80.77%,39,92.86%,25,59.52%,16,38.10%,11,26.19%,50.81,42.69,33.73,451,87.22,250.68,61.05,1.21
25-Jul-22,WMAS,Royal Shrewsbury,50,75.76%,44,88.00%,37,74.00%,26,52.00%,24,48.00%,105.44,94.99,80.68,420,140.97,357.97,117.48,2.11
24-Jul-22,WMAS,Royal Shrewsbury,46,80.70%,42,91.30%,34,73.91%,22,47.83%,19,41.30%,67.86,58.25,44.46,386,103.31,214.43,79.2,1.48
