Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
08-Feb-22,WMAS,Royal Shrewsbury,51,63.75%,51,100.00%,43,84.31%,38,74.51%,33,64.71%,159.34,147.56,127.93,770,202.46,458,172.09,3.12
07-Feb-22,WMAS,Royal Shrewsbury,48,71.64%,46,95.83%,34,70.83%,14,29.17%,8,16.67%,51.31,41.35,29.81,609,79.01,145.93,63.21,1.07
06-Feb-22,WMAS,Royal Shrewsbury,49,71.01%,42,85.71%,24,48.98%,18,36.73%,15,30.61%,68.1,60.63,49.93,547,97.87,228.6,79.93,1.39
05-Feb-22,WMAS,Royal Shrewsbury,29,43.94%,29,100.00%,25,86.21%,18,62.07%,17,58.62%,81.3,74.52,63.86,446,183.21,399.4,88.55,2.8
04-Feb-22,WMAS,Royal Shrewsbury,45,66.18%,40,88.89%,21,46.67%,12,26.67%,8,17.78%,35.42,27.65,19.33,324.2,61.31,153.45,45.98,0.79
03-Feb-22,WMAS,Royal Shrewsbury,37,59.68%,35,94.59%,24,64.86%,12,32.43%,10,27.03%,40.87,33.37,24.12,255,81.17,218.28,50.06,1.1
02-Feb-22,WMAS,Royal Shrewsbury,36,58.06%,34,94.44%,27,75.00%,21,58.33%,20,55.56%,93.46,85.88,74.28,490,170.29,360.1,102.18,2.6
01-Feb-22,WMAS,Royal Shrewsbury,41,62.12%,40,97.56%,31,75.61%,23,56.10%,21,51.22%,130.49,121.32,108.2,831,205.6,598,140.49,3.18
31-Jan-22,WMAS,Royal Shrewsbury,39,66.10%,36,92.31%,32,82.05%,19,48.72%,16,41.03%,81.97,73.36,61.41,550,141.01,391.8,91.66,2.1
29-Jan-22,WMAS,Royal Shrewsbury,63,74.12%,61,96.83%,49,77.78%,40,63.49%,25,39.68%,89.84,75.52,53,329,100.46,208.68,105.48,1.43
